z_pc,Profile_3,Profile_4,Profile_5,Profile_6,Profile_7,Profile_14,Profile_15,Profile_16,Profile_17,Profile_40,Profile_42,Profile_60,Profile_61
-2.244897959183673,10562.94988605744,12808.97268098778,11203.993310017744,11963.712274785905,12114.306150585233,15322.91891516334,11575.644420521256,13199.892757115687,16864.534476256922,235847.51690051015,188995.97944814063,10488.503026675791,10321.079128043568
-1.8367346938775508,11110.35900842885,27667.44288686873,25858.815128240865,12774.704751813431,14694.758194684036,16007.75946037803,12248.570988713682,15945.83814962272,24364.11929449417,229357.25542091893,161071.59345753543,11454.356750324652,10576.83401724302
-1.4285714285714288,12301.180378444542,31576.65765302306,54286.117278562335,26049.125141129032,18172.7066537544,18678.501345456665,15119.54241963865,20559.37855230107,31296.123360151287,201734.72991071345,132614.4581058601,12764.639092037674,11016.39030196337
-1.020408163265305,24181.00519466549,29012.46724099873,70744.20823506001,64830.43170445746,32957.7574092144,21978.695715504786,20406.93825698909,31088.75638360028,42462.349432454816,174112.2044005099,104326.569266628,16479.718665138316,19349.209926222524
-0.612244897959183,53111.371866799294,58478.21892819443,82933.71835559965,95341.4138300196,61667.53569552844,53997.17101577862,42450.6213440914,57408.70695515743,63673.19403447316,145643.16709183692,101744.17262181992,49486.1218240845,49636.594705733885
-0.204081632653061,82041.73853893309,88665.73443440147,97475.97382686636,99801.74211000314,90377.31398184298,86226.9945052596,79477.69669802795,83728.65752672142,84884.03863649032,117129.57653061298,100131.94816560662,82492.52498302811,79923.97948524548
0.204081632653061,239038.81365117023,235764.41197110288,113243.08236028228,185912.1960286864,102263.23797644176,224067.8802952036,208142.46338859125,191871.53064644223,123778.0368709672,102148.91485969385,104770.77564622584,273173.1738852761,261495.76716701337
0.612244897959183,524102.5972035104,499774.2515383958,130235.0439558456,353672.77558598097,97325.30767932576,467519.8283856148,428444.9214157255,381837.32631436473,180355.18873789065,100701.18207908164,115660.65506367823,621528.0685308267,594351.9577510668
1.0204081632653068,809166.3807558508,763823.4756105142,147741.99355000487,597196.9387958129,92387.37738220926,709490.0653350116,650134.4243949265,575724.9123311852,167560.21289245,99873.1814413264,127953.39625050729,969882.9631764042,927208.1483351192
1.4285714285714288,933365.3214261408,906886.7910672096,512595.790970006,856076.0785989832,68753.5947675862,790267.5713422068,845345.2607717707,674840.4438989563,155607.61204732166,110820.0915178568,162429.41762730936,1005754.2962334842,1007825.0515949152
1.8367346938775508,981238.7168336088,960907.5349435576,849235.3961119641,947451.4090160612,37968.86403154438,923812.5560114088,954745.9374010292,829712.2090055887,175477.84284316242,121767.00159438798,196861.44766368432,1009194.6941162824,1009143.7270506062
2.244897959183674,1003568.7181350434,995836.9422499116,989173.4508046748,966602.7082418523,15449.720387764371,990996.4802753424,982837.3338569662,973028.8054741914,216597.58861318452,146773.1419005103,237604.0073160235,1009747.055015836,1010434.645526743
2.6530612244897966,1003516.2529323938,1002421.1285504972,989916.151638266,984498.1440421448,14246.722159176164,994960.3369511302,991624.939220442,989010.1754731844,263882.2104860984,181152.1023596933,281651.7302371197,1009688.6900187152,1010470.262895242
3.0612244897959187,1003499.3650019022,1002584.7730737232,990775.699041386,989932.8220313506,12803.539690876363,996418.4498604628,994807.2856389713,992424.6447767508,357793.9964743361,216956.8520408148,322410.017243017,1009630.3250215946,1010488.4958064714
3.4693877551020407,1003482.584325821,1002267.0511502196,990848.5159169182,991205.0291934568,11600.983996332963,996212.0346082364,995799.6808949196,993852.6943656564,451705.78246258624,260841.0739795926,344105.69870875485,1009602.7035422402,1010425.6377994734
3.8775510204081622,1003442.219246506,1001740.0749578688,990811.944260085,992241.5693926872,11573.25313836481,996137.8475033232,996087.8458890938,994627.1216439689,558011.4195561049,304725.2959183673,365801.3801744894,1009585.1980766214,1010338.4995994114
4.285714285714287,1003399.4542822104,994933.1187702888,990858.4815221612,992396.0806219316,11758.924148175432,996186.6273331384,996299.5666689712,995266.4993844866,671157.8255620045,332957.0535714282,419101.3699775215,1009580.7473088496,1010251.3613993494
4.6938775510204085,1003346.571013055,983746.3027007916,990986.1821433194,992127.061849792,14539.54278938172,996344.7942220088,996333.3111136352,995246.0171830092,853522.2041180362,354480.6122448986,547083.9617610977,1009521.5030049308,1010127.1413668492
5.1020408163265305,1003281.7565359294,969122.8648659658,991113.8443243396,991911.3063014962,17890.023497289716,996468.599551916,996460.5353215544,995455.5810191088,942498.8169565968,403667.6466836752,662422.7295960935,1009462.9958463132,1009971.7460509232
5.510204081632654,1003217.6189070548,882016.35405524,991236.3518702867,991708.4121522304,35969.41765338936,996548.143438728,996646.2658184484,995683.9585015152,961763.9358132242,535845.1084183666,738855.7029637902,1009375.3362265248,1009816.3507349972
5.918367346938776,1003162.978330577,794909.8432445145,991358.8594162338,991570.8271774242,54545.40179977959,996627.7651749302,996826.3912381156,995903.2285757016,981874.611614204,668022.570153058,802436.7993090269,1009268.6444221396,1009659.0840462268
6.326530612244898,1003115.9437819668,715660.8715842543,991474.4386260596,991496.6218832014,140629.0580122612,996717.076165354,996978.7047877912,996121.4209469832,990446.732559578,758944.429846941,816796.6731707698,1009161.920524033,1009503.9230346512
6.73469387755102,1003064.3839682054,586087.3109511136,991595.2794659288,991438.6702254988,257412.0032262692,996773.831079248,997092.59449396,996118.0005242076,991352.320144067,839552.3890306129,832435.736762443,1009029.2662030028,1009348.7939689496
7.142857142857142,1003020.5872535,491258.82462238485,991715.778051723,991376.2967154088,470825.2920168255,996859.67832134,997207.2555238968,996114.5801014324,992119.959514388,899508.4285714284,898639.2892428011,1008896.0681570226,1009189.6110276736
7.551020408163264,1002975.2774037193,588319.2632615254,991840.311797536,991366.7886705748,657888.9557323003,996882.8998590336,997280.738683498,996055.0188345364,992597.7985000428,921110.903061224,921418.4494648684,1008749.105329628,1009030.428086398
7.95918367346939,1002921.015371488,672139.2669116299,991964.2972242804,991367.0999917733,800102.9891206516,996886.1343108732,997333.3596934167,995971.2712263276,992694.1217757764,942713.3775510208,929496.5480845744,1008592.8778920944,1008869.498650154
8.367346938775512,1002873.7469504478,700285.149241016,992080.1978756088,991384.502555454,887005.1199729877,996883.3478870032,997383.4922237298,996236.3620584472,992327.345969406,953947.0943877551,932473.1796759646,1008432.4165019454,1008704.261663982
8.775510204081634,1002828.8413138844,743179.1107893602,992188.5520402729,991401.9051191346,947002.7799369724,996875.2672380272,997438.0650151311,996350.7116542074,992051.3121923225,964028.7270408162,937191.570424799,1008261.5290292492,1008538.0396719812
9.183673469387756,1002783.9356773208,925813.1880053644,992296.4228837378,991422.8439894044,966540.1178721476,996846.2270962498,997516.0420170322,996436.302893938,991990.0541159118,971537.0255102044,975520.8970271656,1008088.6524724702,1008368.7462920332
9.591836734693878,1002708.1621363217,994886.8831299765,992399.3348937732,991464.5807099466,980268.7703331348,996821.5205227496,997564.9876390832,996314.9225784596,991932.3231877298,975900.137755102,977137.835008833,1007911.5298131948,1008197.2877939012
10.0,1002643.8286102077,998987.9047525284,992504.0619105296,991513.4103984624,984120.2205882358,996796.8139492496,997584.1865811716,995595.988432862,992781.8506643048,980263.25,978039.551392186,1007722.148103118,1008025.8292957696
