z_pc,Profile_0,Profile_1,Profile_2,Profile_3,Profile_4,Profile_5,Profile_6,Profile_7,Profile_8,Profile_9,Profile_10,Profile_11,Profile_12,Profile_13,Profile_14,Profile_15,Profile_16,Profile_17,Profile_18,Profile_19,Profile_20,Profile_21,Profile_22,Profile_23,Profile_24,Profile_25,Profile_26,Profile_27,Profile_28,Profile_29,Profile_30,Profile_31,Profile_32,Profile_33,Profile_34,Profile_35,Profile_36,Profile_37,Profile_38,Profile_39,Profile_40,Profile_41,Profile_42,Profile_43,Profile_44,Profile_45,Profile_46,Profile_47,Profile_48,Profile_49,Profile_50,Profile_51,Profile_52,Profile_53,Profile_54,Profile_55,Profile_56,Profile_57,Profile_58,Profile_59,Profile_60,Profile_61,Profile_62,Profile_63,Profile_64,Profile_65
-5.918367346938775,,10370.189350826757,10356.298564380008,10362.0261392891,10490.73530241897,10330.185552194709,10380.052940409698,10078.438367534516,10669.827218532457,27770.22507014311,13196.508767965084,759779.8362546945,9753.105290380448,10346.137022755083,57915.50283528466,26764.15450985357,13213.4727888439,9755.338915821401,711766.5667355247,671343.1816078431,9436.872228198541,9436.549386160714,15007.06179785469,29143.187289914316,646664.1740788798,59487.0628587376,205908.85013104219,48249.81096296952,856454.2156472169,10061.445125886996,10886.074528017845,11962.006212026776,10123.999414360274,59482.53260487622,13842.722719012316,12032.369632931346,51848.22960479694,33242.66963145214,15550.179575403745,23293.895545628864,14387.296097736076,70816.8472576532,27955.208928612527,213411.5271788984,12145.381813314463,32685.023729214357,623627.0944989817,853652.9370605736,173458.3046542205,27123.839325573863,687291.0192426099,488332.1947459924,18138.269384287014,335933.3670470412,9564.44330851164,11222.930142289162,21552.687309445,15700.693739872957,101047.524427151,9466.86820785236,10193.706309306663,10398.10238873328,221357.2526936276,10297.016138575877,48406.07892570989,989624.5408163265
-5.5102040816326525,,10380.270757703262,10360.056395069318,10377.266861531918,10775.461396864222,10377.11975172007,10406.109643658167,10205.007458452132,10915.58576703886,36101.52662780614,13026.01866974336,743393.3302782222,9776.539726833815,10428.711624634037,74466.99455785155,23625.20866844931,13435.710134478693,9796.829012144064,840195.2981497904,641927.3080990696,9432.715428516745,9456.571707589286,15831.489419624202,23209.912367551657,604856.746454889,48220.79986447669,117566.61477716976,33479.31079957403,877194.3430163681,10244.062528304268,11126.805178011036,13868.80320605426,10121.701838908704,66501.01861122657,13107.332763175054,11813.488710226968,46496.704046718405,31275.1608986431,15212.100245849768,31790.884684945115,18765.119359853343,68091.23979591836,45694.33083439715,161730.44556310313,13496.936883436132,34631.971807694834,646174.5017749132,825735.2105565154,379857.0438806552,22106.95587531928,775048.3699813324,707598.1295910901,18501.965057666424,194560.30116250122,9864.598374497313,10840.524736463218,22333.87670836273,15228.609575760776,133887.17118001863,9482.955337509335,10246.579139920541,10402.553798355118,261865.66584569734,10420.747514794752,84433.53704667285,986712.2448979592
-5.1020408163265305,,10377.987186864044,10365.394563033627,10400.815751527589,10948.274876786936,10424.053951245436,10414.314773135604,10327.16071076868,11259.437116874615,168262.82685221836,12855.528571521634,712546.1437761355,9834.61033959152,10495.50848872339,94398.1049594596,20842.111936649504,12943.710150380659,9843.623087756368,812702.7853238792,568736.0074991296,9481.881505485602,9476.594029017857,18698.209532059238,16578.385583381238,518691.66338415165,30526.188097895916,70299.72894921764,18708.810636179383,895696.115809809,10426.886314924974,11900.788193621851,15271.44740576119,10119.404263457134,79153.14818005612,12496.870248286967,11543.479622251241,40732.73811252162,28148.378291567868,12949.667621215947,39375.596858164354,23142.942621970607,65365.63233418352,63206.10916440867,118233.21905942103,16624.80805337075,36204.61481036842,667312.0036365341,691454.9729329256,552161.6888796615,17672.392737563692,858624.0818989852,776296.6025132395,51636.337004173,136737.2788541503,10077.41141595464,10748.020001999379,26943.844777294034,14612.069847347992,172172.6344839582,9498.283298619754,10287.902540487295,10404.78338840426,313856.12831304694,10582.256304693547,120460.99516763582,983799.948979592
-4.6938775510204085,,10360.350165039923,10371.460966740939,10422.341819530382,11024.825652246556,10420.078835717155,10419.766700659758,10421.698244532185,12643.854963136153,392134.274897491,22060.793194328537,687969.1017628985,9873.258956286107,10968.086949469918,74954.18529373282,17777.00977859237,12360.718313483003,9966.665335692867,785210.272497969,495544.7068992051,9539.238519033966,9545.927774234702,19868.441467560286,14190.179139581778,432526.58031341445,24174.257174744656,41173.41782077651,15985.19264507376,897162.9084765282,10491.658356198122,12978.61629507528,16140.989079912437,10288.002707958225,104611.78320065321,11941.580862799026,11327.214743211758,36357.03187602076,27166.153376144473,12235.010110916019,58535.60220681499,37550.41262755047,53795.1434550367,109308.01392506904,89625.1311139499,21373.956377851122,39553.781928562676,686207.3660254244,467596.6425982843,573813.470396353,16388.372967155527,868653.90924369,737255.6197899866,54540.15155792945,78914.25654582672,10346.386471428228,10857.799840871154,75562.17080841481,13995.530118935207,356844.27228296245,9513.611259730169,10323.705517437982,10404.683920456922,210355.79789175504,11225.200258433142,133629.07398732024,983432.200255102
-4.285714285714286,,10362.091284235337,10383.409480360959,10431.39650519413,11566.348285746883,10415.724069431966,10349.479210461643,10479.766946231619,17627.14384378044,630437.8980383095,32543.593196709797,665998.6451188712,9899.572759944866,12057.140853843619,53984.27770704903,13886.172902932594,11535.346323587693,10145.336227600581,727017.494190721,422447.7028851464,9673.104082669099,9631.698660714275,23024.044574247986,13137.350977308364,346361.49724267685,21603.21986607125,26861.505588288182,13351.412985719637,897182.8023046565,10495.248271555894,13819.317289797047,16603.843035599606,10460.912860024997,110983.9970635417,11851.768241964153,11205.299817765594,33817.0614331296,27161.00422405275,11880.264890487515,109122.52480541015,55301.09821428607,39276.36077009102,172676.93119245116,84470.5706298606,26123.104702331217,42350.22753596742,704897.8233275607,386971.4093074675,550598.7909053753,16154.534319196398,875152.8311451431,723353.9065325405,75153.75824791574,44846.21710447097,11226.625519943485,11198.207613671471,120405.2868997893,13378.99039052232,564658.6080001543,9546.995941814472,10380.12862801403,10393.955471368885,108363.89795366985,13703.989655118348,159678.1069558137,983912.6339285715
-3.8775510204081627,,10386.881976659353,10399.670530707248,10436.6594752819,12032.139622857594,10352.944499631147,10271.710314696462,10521.08650608682,23591.30392755605,794788.3731114921,117264.15987933046,641600.3508360495,9907.177623581068,12644.77587669178,24641.70530607147,10875.466754610701,10645.784006630947,10383.230917233885,632307.8995058826,393673.27747717855,10010.481960451942,9859.79089604588,26559.74652975951,12536.539789244918,292987.3970628139,16532.511240433716,22720.676745058023,12437.038320083462,891926.590500061,10497.863185561257,17383.067972355882,17066.696991286342,10658.366869456895,94653.62755153548,13777.988323830697,11341.430185394984,33460.62998711657,27698.81053140502,11538.686079367406,206370.28373646957,86591.65529336744,27989.78344228342,219257.63401241123,87117.28735250671,27359.31300079799,44919.850647091094,721605.1552511137,300800.15153484524,521649.91953168955,15212.639309630089,766588.3352468174,710380.2308511174,84543.70296091275,39033.840401068024,12833.94020256853,11556.868818084713,165248.4029911827,13196.649692523431,651540.0143810892,9630.02651433985,10405.821698877553,10370.584247161125,23476.464314612153,19853.62351607872,147346.50783339265,984126.9477040817
-3.4693877551020407,,10411.672669083368,10412.970631093327,10448.554991011782,12329.909264549317,10230.339630426557,10220.42697153763,10565.887535873731,42211.90826606476,850566.9785734434,321718.44888795307,612528.7872573424,9917.298859252729,16353.381932905259,19724.91485638837,10715.276904496492,10754.076890801356,10898.285084119983,520702.1776741402,373262.675900635,10328.88980096357,10419.96627869897,30183.981886823894,12426.562636265193,240268.29591318223,14532.749143016585,17748.892344789172,12444.829105469402,881861.100710581,10479.971230457642,23636.16196868601,18436.05502546382,10968.93780652313,99617.99370771046,16302.894292603607,11426.670778544198,33104.19854110465,29220.041618559902,11296.256438611608,282099.42430247174,149475.24585459076,24245.018614477107,227362.19227426132,83718.8043910549,28473.399913542988,51295.62409547674,730129.3978465875,154398.73426802538,510180.04642310546,14522.1281489158,651648.9938152032,649691.6524527511,158186.1723950525,35382.19982476288,14441.254885192582,12033.603227036421,350514.7685373303,13065.536176369656,705541.0902617538,9687.417757301504,10425.22543863386,10344.908701245913,23307.61250727965,26956.756176392995,94983.79347117926,983720.3150510204
-3.0612244897959187,,10466.529900733076,10426.270731479404,10477.089982407335,12131.42407533763,10101.844466017592,10306.773230925402,10704.061522265158,96154.05410406919,906345.5840353935,560097.3542577487,587818.5549329548,10113.368504892343,21236.282541900688,16517.81538339389,10760.276255422596,10964.399584930148,11889.83690786317,414123.6152360456,352852.0743240876,11536.062433506426,10980.14166135206,32505.015253762314,12331.874245067089,170932.29786459525,14624.124382174577,12996.14208336999,12540.944401194649,871795.610921101,10459.448535146454,38323.93316886966,21616.242255923346,11207.029452446854,97709.00410224228,37756.064765816875,12161.606636325278,34306.37222181497,30539.19353925458,11233.828990815378,358771.9460756998,212358.83641581846,20500.25378667079,235439.45645802678,87604.19047533545,31607.711346976655,62815.00517616041,738062.6010411065,52014.73431109772,497759.45365168864,17034.801060267117,575970.9136604695,497795.48745831347,360179.2477015229,34224.892585314235,15783.034119426671,13257.212272233863,505983.92387101526,12934.422660215845,627326.2846124892,9764.876651663086,10445.672954030022,10332.998881991234,44319.87983179508,89224.98819509521,77151.03123376334,983313.6823979592
-2.6530612244897958,,10533.222268135334,10638.270618649283,10505.621125765516,12162.291133520506,10358.847633993522,11148.929378260324,11290.335956257499,194922.26511935506,934272.1815160096,556754.2728168243,528452.7083651796,10427.22002194836,26119.183150899495,15542.1256759253,11246.06130379787,11484.800473606092,12881.388731606505,313419.7269545659,320762.29489396943,13403.727286122159,15263.197783801443,34878.45630254026,13745.578816780877,136518.529984087,15063.125896843225,12381.730077701774,13207.385335640152,847052.9812532291,10467.635376202172,78645.48218384813,21495.782314260116,11948.651417778092,72703.00116281015,82763.63623368194,13275.984482889957,36122.06191515552,33782.27597093239,11856.789816149525,384839.92448922514,228249.60235969402,19380.497528698925,216562.3933250763,113625.94007861201,34025.05318867037,77673.86561867209,698159.5545223677,41479.263100473756,442420.81191481213,17514.79101562517,458141.39440933394,399275.24034261383,561845.8317796891,33551.221490604985,17020.29024725373,15010.149333852578,646577.5631882258,13381.232218488045,570219.1816110963,9843.836586224603,10469.292601826019,10327.039005017394,40827.763975708716,197789.0858628305,78600.9057327615,957573.7755102036
-2.244897959183673,,10599.914635537589,10899.140643664761,10562.949886057439,12808.972680987781,11203.993310017744,11963.712274785903,12114.306150585233,287528.42528905853,800945.2882058935,556932.9997821329,486829.7003474658,10836.665783491326,50003.553425576814,15322.91891516334,11575.644420521257,13199.892757115687,16864.534476256922,212715.83867310884,289851.763948743,15268.170163193827,20203.232860332308,39851.81639061065,15400.268764439563,148463.84989037883,15982.18361367966,12348.815221725043,14222.848340754208,819792.8495219632,10480.575787074913,124020.34844548712,20328.400619587206,13347.199911912478,43934.621176223925,118467.94580350199,14772.474802294588,37937.751608497354,37331.62834559668,12152.383600443749,345972.0916245908,235847.51690051018,18723.978077168278,188995.97944814066,139647.68968191455,38401.008948105926,92629.19628467142,616122.949980467,30292.798945592884,343289.04468941985,16995.253467793074,343674.5078582958,306772.1691167477,765358.5097286205,32877.55039589687,18257.546375079768,18569.71842496607,609646.2477873827,14595.231799057241,502728.0651252297,9955.180331681346,10488.503026675793,10321.079128043568,25674.774851236365,306353.18353056576,71285.01489350526,927363.2908163266
