z_pc,T_K,T_tilde,M_dot
-1.0,10000.0,0.1,0.0001261614506682626
-0.9959919839679358,175902.64695784345,1.7590264695784343,0.0001261614506682626
-0.9919839679358717,232785.07699884128,2.327850769988413,0.0001261614506682626
-0.9879759519038075,270338.9283650987,2.703389283650987,0.0001261614506682626
-0.9839679358717435,295700.2221875977,2.957002221875977,0.0001261614506682626
-0.9799599198396793,313902.8795922015,3.139028795922015,0.0001261614506682626
-0.9759519038076152,328114.320278536,3.28114320278536,0.0001261614506682626
-0.9719438877755511,339923.119162373,3.39923119162373,0.0001261614506682626
-0.967935871743487,350151.684191186,3.50151684191186,0.0001261614506682626
-0.9639278557114228,359266.76172857534,3.5926676172857532,0.0001261614506682626
-0.9599198396793588,367554.27982432133,3.6755427982432134,0.0001261614506682626
-0.9559118236472945,375199.0703090865,3.7519907030908652,0.0001261614506682626
-0.9519038076152303,382331.311694164,3.82331311694164,0.0001261614506682626
-0.9478957915831663,389042.8112519255,3.890428112519255,0.0001261614506682626
-0.9438877755511023,395401.68462018936,3.9540168462018936,0.0001261614506682626
-0.939879759519038,401459.5953704861,4.014595953704861,0.0001261614506682626
-0.935871743486974,407256.5858415566,4.072565858415566,0.0001261614506682626
-0.9318637274549098,412825.8927624833,4.128258927624833,0.0001261614506682626
-0.9278557114228457,418193.5756072386,4.181935756072386,0.0001261614506682626
-0.9238476953907816,423381.0107047475,4.233810107047475,0.0001261614506682626
-0.9198396793587175,428406.1645211264,4.284061645211264,0.0001261614506682626
-0.9158316633266533,433283.75508453074,4.332837550845308,0.0001261614506682626
-0.9118236472945893,438026.56101857487,4.380265610185749,0.0001261614506682626
-0.9078156312625251,442645.2886530906,4.426452886530906,0.0001261614506682626
-0.903807615230461,447149.4456236707,4.471494456236707,0.0001261614506682626
-0.8997995991983968,451547.0387532486,4.515470387532486,0.0001261614506682626
-0.8957915831663326,455845.36787594407,4.558453678759441,0.0001261614506682626
-0.8917835671342685,460050.4454894465,4.600504454894465,0.0001261614506682626
-0.8877755511022043,464167.87698545016,4.641678769854502,0.0001261614506682626
-0.8837675350701403,468202.4661587109,4.682024661587109,0.0001261614506682626
-0.8797595190380761,472158.64224581805,4.721586422458181,0.0001261614506682626
-0.875751503006012,476040.3495202995,4.760403495202995,0.0001261614506682626
-0.8717434869739479,479851.0660322005,4.798510660322005,0.0001261614506682626
-0.8677354709418839,483594.003508396,4.83594003508396,0.0001261614506682626
-0.8637274549098196,487272.0540033722,4.872720540033722,0.0001261614506682626
-0.8597194388777556,490887.79707754863,4.908877970775486,0.0001261614506682626
-0.8557114228456916,494443.72878050717,4.944437287805072,0.0001261614506682626
-0.8517034068136273,497941.7596361445,4.979417596361445,0.0001261614506682626
-0.8476953907815633,501383.4246187397,5.013834246187397,0.0001261614506682626
-0.8436873747494991,504770.2545252766,5.047702545252766,0.0001261614506682626
-0.8396793587174348,508103.98192365136,5.081039819236514,0.0001261614506682626
-0.8356713426853708,511386.1702990548,5.113861702990548,0.0001261614506682626
-0.8316633266533066,514618.36778773635,5.146183677877364,0.0001261614506682626
-0.8276553106212425,517802.11119638546,5.178021111963854,0.0001261614506682626
-0.8236472945891784,520938.6931819725,5.209386931819725,0.0001261614506682626
-0.8196392785571143,524029.4217378903,5.240294217378903,0.0001261614506682626
-0.8156312625250501,527075.6248718237,5.270756248718237,0.0001261614506682626
-0.8116232464929861,530078.4122207192,5.300784122207192,0.0001261614506682626
-0.8076152304609219,533038.8207498231,5.330388207498231,0.0001261614506682626
-0.8036072144288579,535957.8725932804,5.3595787259328045,0.0001261614506682626
-0.7995991983967936,538836.6081184399,5.388366081184399,0.0001261614506682626
-0.7955911823647294,541676.0394418422,5.416760394418422,0.0001261614506682626
-0.7915831663326653,544477.0198601179,5.444770198601179,0.0001261614506682626
-0.7875751503006011,547240.4025662803,5.4724040256628035,0.0001261614506682626
-0.7835671342685371,549967.1204149002,5.499671204149003,0.0001261614506682626
-0.779559118236473,552658.0099579056,5.526580099579056,0.0001261614506682626
-0.7755511022044088,555313.7724982422,5.553137724982422,0.0001261614506682626
-0.7715430861723447,557935.1713120557,5.579351713120556,0.0001261614506682626
-0.7675350701402807,560523.0340132468,5.605230340132468,0.0001261614506682626
-0.7635270541082164,563078.0882812431,5.630780882812431,0.0001261614506682626
-0.7595190380761524,565600.9731284129,5.656009731284128,0.0001261614506682626
-0.7555110220440882,568092.3644605598,5.680923644605598,0.0001261614506682626
-0.7515030060120239,570552.9749664065,5.7055297496640645,0.0001261614506682626
-0.7474949899799599,572983.4812236847,5.729834812236848,0.0001261614506682626
-0.7434869739478958,575384.5133578386,5.753845133578386,0.0001261614506682626
-0.7394789579158316,577756.6812058049,5.7775668120580495,0.0001261614506682626
-0.7354709418837675,580100.5601142284,5.8010056011422835,0.0001261614506682626
-0.7314629258517034,582416.731194246,5.8241673119424595,0.0001261614506682626
-0.7274549098196392,584705.8164617922,5.8470581646179225,0.0001261614506682626
-0.7234468937875751,586968.4431317294,5.869684431317294,0.0001261614506682626
-0.719438877755511,589205.1698759464,5.892051698759464,0.0001261614506682626
-0.7154308617234469,591416.5086501674,5.914165086501674,0.0001261614506682626
-0.7114228456913828,593602.983557437,5.93602983557437,0.0001261614506682626
-0.7074148296593187,595765.1464978851,5.957651464978851,0.0001261614506682626
-0.7034068136272545,597903.5495900343,5.979035495900343,0.0001261614506682626
-0.6993987975951904,600018.7098764057,6.000187098764057,0.0001261614506682626
-0.6953907815631263,602111.1234591923,6.021111234591923,0.0001261614506682626
