z_pc,T_K,T_tilde,M_dot,dTdz_init
-1.0,10000.0,0.1,1.0235130364524997e-21,9.907843006937343
-0.9959919839679358,11985.580739958348,0.11985580739958349,1.0235130364524997e-21,9.907843006937343
-0.9919839679358717,13971.299878633676,0.13971299878633675,1.0235130364524997e-21,9.907843006937343
-0.9879759519038075,15957.289733359185,0.15957289733359184,1.0235130364524997e-21,9.907843006937343
-0.9839679358717435,17943.70595379449,0.17943705953794492,1.0235130364524997e-21,9.907843006937343
-0.9799599198396793,19930.602880098337,0.19930602880098336,1.0235130364524997e-21,9.907843006937343
-0.9759519038076152,21917.903630595134,0.21917903630595134,1.0235130364524997e-21,9.907843006937343
-0.9719438877755511,23905.51070277943,0.23905510702779428,1.0235130364524997e-21,9.907843006937343
-0.967935871743487,25893.352530576307,0.2589335253057631,1.0235130364524997e-21,9.907843006937343
-0.9639278557114228,27881.382737403466,0.27881382737403465,1.0235130364524997e-21,9.907843006937343
-0.9599198396793588,29869.571886072397,0.298695718860724,1.0235130364524997e-21,9.907843006937343
-0.9559118236472945,31857.900883617705,0.31857900883617707,1.0235130364524997e-21,9.907843006937343
-0.9519038076152303,33846.356882499196,0.33846356882499196,1.0235130364524997e-21,9.907843006937343
-0.9478957915831663,35834.930403780454,0.3583493040378046,1.0235130364524997e-21,9.907843006937343
-0.9438877755511023,37823.614094370845,0.37823614094370844,1.0235130364524997e-21,9.907843006937343
-0.939879759519038,39812.40208352049,0.3981240208352049,1.0235130364524997e-21,9.907843006937343
-0.935871743486974,41801.289689306344,0.4180128968930635,1.0235130364524997e-21,9.907843006937343
-0.9318637274549098,43790.27324850329,0.4379027324850329,1.0235130364524997e-21,9.907843006937343
-0.9278557114228457,45779.350000323226,0.45779350000323227,1.0235130364524997e-21,9.907843006937343
-0.9238476953907816,47768.51790639648,0.4776851790639648,1.0235130364524997e-21,9.907843006937343
-0.9198396793587175,49757.77548236428,0.4975777548236428,1.0235130364524997e-21,9.907843006937343
-0.9158316633266533,51747.12183303282,0.5174712183303282,1.0235130364524997e-21,9.907843006937343
-0.9118236472945893,53736.55669464844,0.5373655669464844,1.0235130364524997e-21,9.907843006937343
-0.9078156312625251,55726.079943675,0.55726079943675,1.0235130364524997e-21,9.907843006937343
-0.903807615230461,57715.691678616655,0.5771569167861665,1.0235130364524997e-21,9.907843006937343
-0.8997995991983968,59705.39221095371,0.5970539221095371,1.0235130364524997e-21,9.907843006937343
-0.8957915831663326,61695.182019169115,0.6169518201916911,1.0235130364524997e-21,9.907843006937343
-0.8917835671342685,63685.06164634981,0.636850616463498,1.0235130364524997e-21,9.907843006937343
-0.8877755511022043,65675.0315746288,0.656750315746288,1.0235130364524997e-21,9.907843006937343
-0.8837675350701403,67665.09223868654,0.6766509223868654,1.0235130364524997e-21,9.907843006937343
-0.8797595190380761,69655.2439533237,0.6965524395332371,1.0235130364524997e-21,9.907843006937343
-0.875751503006012,71645.48675136609,0.7164548675136608,1.0235130364524997e-21,9.907843006937343
-0.8717434869739479,73635.82029099131,0.736358202909913,1.0235130364524997e-21,9.907843006937343
-0.8677354709418839,75626.24378822502,0.7562624378822502,1.0235130364524997e-21,9.907843006937343
-0.8637274549098196,77616.75608543718,0.7761675608543718,1.0235130364524997e-21,9.907843006937343
-0.8597194388777556,79607.35566189444,0.7960735566189444,1.0235130364524997e-21,9.907843006937343
-0.8557114228456916,81598.04065928693,0.8159804065928693,1.0235130364524997e-21,9.907843006937343
-0.8517034068136273,83588.8089324816,0.835888089324816,1.0235130364524997e-21,9.907843006937343
-0.8476953907815633,85579.65809770024,0.8557965809770025,1.0235130364524997e-21,9.907843006937343
-0.8436873747494991,87570.58556701666,0.8757058556701666,1.0235130364524997e-21,9.907843006937343
-0.8396793587174348,89561.58857449277,0.8956158857449277,1.0235130364524997e-21,9.907843006937343
-0.8356713426853708,91552.6641906171,0.9155266419061711,1.0235130364524997e-21,9.907843006937343
-0.8316633266533066,93543.80933405636,0.9354380933405636,1.0235130364524997e-21,9.907843006937343
-0.8276553106212425,95535.02077680868,0.9553502077680868,1.0235130364524997e-21,9.907843006937343
-0.8236472945891784,97526.29515441564,0.9752629515441564,1.0235130364524997e-21,9.907843006937343
-0.8196392785571143,99517.62897953899,0.9951762897953899,1.0235130364524997e-21,9.907843006937343
-0.8156312625250501,101509.0186349325,1.015090186349325,1.0235130364524997e-21,9.907843006937343
-0.8116232464929861,103500.46041349204,1.0350046041349203,1.0235130364524997e-21,9.907843006937343
-0.8076152304609219,105491.95057498147,1.0549195057498146,1.0235130364524997e-21,9.907843006937343
-0.8036072144288579,107483.48533977765,1.0748348533977765,1.0235130364524997e-21,9.907843006937343
-0.7995991983967936,109475.061007696,1.09475061007696,1.0235130364524997e-21,9.907843006937343
-0.7955911823647294,111466.67399549794,1.1146667399549794,1.0235130364524997e-21,9.907843006937343
-0.7915831663326653,113458.32084537369,1.1345832084537368,1.0235130364524997e-21,9.907843006937343
-0.7875751503006011,115449.99825085125,1.1544999825085125,1.0235130364524997e-21,9.907843006937343
-0.7835671342685371,117441.70307851436,1.1744170307851436,1.0235130364524997e-21,9.907843006937343
-0.779559118236473,119433.43238181887,1.1943343238181887,1.0235130364524997e-21,9.907843006937343
-0.7755511022044088,121425.18340809802,1.2142518340809803,1.0235130364524997e-21,9.907843006937343
-0.7715430861723447,123416.95359781923,1.2341695359781923,1.0235130364524997e-21,9.907843006937343
-0.7675350701402807,125408.74058086592,1.2540874058086593,1.0235130364524997e-21,9.907843006937343
